ID	Group	description	Class
Q881L7	51	Q881L7_PSESM HopL1 protein OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=PSPTO_2872 PE=4 SV=1	1
Q5ZYJ6	52	"Q5ZYJ6_LEGPH SdhA, GRIP coiled-coil protein GCC185 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sdhA PE=4 SV=1"	1
Q5ZZ76	52	Q5ZZ76_LEGPH SdhB OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sdhB PE=4 SV=1	1
Q5ZRQ1	52	Q5ZRQ1_LEGPH SidH OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidH PE=4 SV=1	1
Q9RBW3	53	HPAB1_PSESH Effector protein hopAB1 OS=Pseudomonas syringae pv. phaseolicola GN=hopAB1 PE=2 SV=1	1
Q9K2L5	54	Q9K2L5_PSESH ORF2 OS=Pseudomonas syringae pv. phaseolicola PE=1 SV=1	1
B5MXT4	55	"B5MXT4_SALET Secreted effector protein OS=Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701 GN=SeI_A2719 PE=4 SV=1"	1
Q5ZRQ0	56	LUBX_LEGPH E3 ubiquitin-protein ligase LubX OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lubX PE=1 SV=1	1
Q87W46	57	Q87W46_PSESM Type III effector HopV1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopV1 PE=4 SV=1	1
Q5ZZH2	58	Q5ZZH2_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA10 PE=4 SV=1	1
P15273	59	YOPH_YEREN Tyrosine-protein phosphatase yopH OS=Yersinia enterocolitica GN=yopH PE=1 SV=1	1
P08538	59	YOPH_YERPS Tyrosine-protein phosphatase yopH OS=Yersinia pseudotuberculosis GN=yopH PE=1 SV=3	1
P74873	59	SPTP_SALTY Secreted effector protein sptP OS=Salmonella typhimurium GN=sptP PE=1 SV=1	1
Q888Y7	60	Q888Y7_PSESM Type III effector HopQ1-1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopQ1-1 PE=4 SV=1	1
Q5ZTE6	61	"Q5ZTE6_LEGPH Purine NTPase, putative OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2216 PE=4 SV=1"	1
Q01249	62	YSCH_YEREN Yop proteins translocation protein H OS=Yersinia enterocolitica GN=yscH PE=2 SV=1	1
Q663I2	62	YSCH_YERPS Yop proteins translocation protein H OS=Yersinia pseudotuberculosis GN=yscH PE=2 SV=1	1
P68590	62	YSCH_YERPE Yop proteins translocation protein H OS=Yersinia pestis GN=yscH PE=1 SV=1	1
Q88AB8	63	Q88AB8_PSESM Type III effector HopAS1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAS1 PE=4 SV=1	1
Q5ZUC3	64	"Q5ZUC3_LEGPH Microtubule binding protein, putative OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC2 PE=4 SV=1"	1
Q5ZT67	64	Q5ZT67_LEGPH Inclusion membrane protein A OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC7 PE=4 SV=1	1
Q7PC62	69	HOAE1_PSEU2 Effector protein hopAE1 OS=Pseudomonas syringae pv. syringae (strain B728a) GN=hopAE1 PE=3 SV=1	1
Q5ZSC8	70	Q5ZSC8_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2591 PE=4 SV=1	1
Q7PC42	71	Q7PC42_PSEU2 Putative type III effector HolPtoACPsy OS=Pseudomonas syringae pv. syringae (strain B728a) GN=Psyr_0527 PE=4 SV=1	1
Q9L6W4	71	Q9L6W4_PSEUB Putative uncharacterized protein OS=Pseudomonas syringae pv. tomato PE=4 SV=1	1
Q5ZWZ3	72	Q5ZWZ3_LEGPH LidA OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0940 PE=1 SV=1	1
O34020	73	O34020_CHLCV CopN protein OS=Chlamydophila caviae GN=copN PE=4 SV=1	1
Q9Z8L4	73	Q9Z8L4_CHLPN CopN OS=Chlamydia pneumoniae GN=lcrE PE=4 SV=1	1
Q52530	74	Q52530_PSESH Avirulence gene D (Fragment) OS=Pseudomonas syringae pv. phaseolicola GN=avrD PE=4 SV=1	1
Q5ZUY2	75	Q5ZUY2_LEGPH Leucine-rich repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legL3 PE=4 SV=1	1
Q824H6	79	Q824H6_CHLCV Putative uncharacterized protein OS=Chlamydophila caviae GN=CCA_00170 PE=4 SV=1	1
Q9Z7Y1	79	Y572_CHLPN Uncharacterized protein CPn_0572/CP_0177/CPj0572/CpB0594 OS=Chlamydia pneumoniae GN=CPn_0572 PE=3 SV=1	1
O84462	79	TARP_CHLTR Translocated actin-recruiting phosphoprotein OS=Chlamydia trachomatis GN=tarP PE=3 SV=1	1
Q9F3T4	80	AVRP2_PSESJ Probable cysteine protease avirulence protein AvrPpiC2 OS=Pseudomonas syringae pv. pisi GN=avrPpiC2 PE=3 SV=1	1
Q52394	81	Q52394_PSESH AvrPphE OS=Pseudomonas syringae pv. phaseolicola GN=avrPphE PE=4 SV=1	1
Q5ZRT5	82	Q5ZRT5_LEGPH Interaptin OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lepA PE=4 SV=1	1
Q5ZU58	83	Q5ZU58_LEGPH Guanine nucleotide exchange protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sec7 PE=4 SV=1	1
Q9Z8Z8	84	Q9Z8Z8_CHLPN CPj0186 protein OS=Chlamydia pneumoniae GN=CP_0581 PE=4 SV=1	1
Q46210	84	Q46210_CHLCV Inclusion membrane localised protein OS=Chlamydophila caviae GN=incA PE=4 SV=1	1
Q888W0	85	Q888W0_PSESM Type III effector HopAI1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAI1 PE=4 SV=1	1
D6YXE8	86	INCA_CHLT9 Inclusion membrane protein A OS=Chlamydia trachomatis serovar G (strain G/9301) GN=incA PE=3 SV=1	1
Q7PC45	87	Q7PC45_PSEU2 Putative type III effector HolPsyAG OS=Pseudomonas syringae pv. syringae (strain B728a) GN=Psyr_0778 PE=4 SV=1	1
Q5ZRP9	88	Q5ZRP9_LEGPH VipD OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=vipD PE=4 SV=1	1
Q5ZVL4	88	Q5ZVL4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1426 PE=4 SV=1	1
Q5ZW60	88	Q5ZW60_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1227 PE=4 SV=1	1
Q5ZSV6	88	"Q5ZSV6_LEGPH Hypothetical, patatin-like phospholipase OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2410 PE=4 SV=1"	1
Q52537	89	Q52537_PSESX AvrPmaA1 protein OS=Pseudomonas syringae GN=avrPmaA1 PE=4 SV=1	1
Q5ZTK4	90	Q5ZTK4_LEGPH Sid related protein-like OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2157 PE=4 SV=1	1
Q5ZSK8	90	Q5ZSK8_LEGPH SdeD OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2509 PE=4 SV=1	1
Q5ZTK8	90	Q5ZTK8_LEGPH Sid related protein-like OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2153 PE=4 SV=1	1
Q5ZVE4	90	Q5ZVE4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1496 PE=4 SV=1	1
Q5ZTK5	90	Q5ZTK5_LEGPH Sid related protein-like OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2156 PE=4 SV=1	1
Q5ZYX7	90	Q5ZYX7_LEGPH SidE OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidE PE=4 SV=1	1
Q5ZSJ4	90	Q5ZSJ4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2523 PE=4 SV=1	1
Q5ZTK7	90	Q5ZTK7_LEGPH Sid related protein-like OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2154 PE=4 SV=1	1
P11437	91	AVRA_PSESG Avirulence protein A OS=Pseudomonas syringae pv. glycinea GN=avrA PE=4 SV=1	1
Q52432	92	Q52432_PSESX Avirulence protein (Fragment) OS=Pseudomonas syringae GN=avrRps4 PE=4 SV=1	1
Q9Z8P7	93	Q9Z8P7_CHLPN Inclusion Membrane Protein B OS=Chlamydia pneumoniae GN=incB PE=4 SV=1	1
O84235	93	O84235_CHLTR Inclusion Membrane Protein B OS=Chlamydia trachomatis GN=incB PE=4 SV=1	1
Q9F3T6	94	AVRD1_PSESH Effector protein AvrPphD OS=Pseudomonas syringae pv. phaseolicola GN=avrPphD PE=3 SV=1	1
Q5ZYD6	95	Q5ZYD6_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA11 PE=4 SV=1	1
Q52389	96	Q52389_PSESX Putative uncharacterized protein OS=Pseudomonas syringae PE=4 SV=1	1
Q9Z8P6	97	Q9Z8P6_CHLPN Inclusion Membrane Protein C OS=Chlamydia pneumoniae GN=incC PE=4 SV=1	1
O30783	97	O30783_CHLCV Inclusion membrane protein C OS=Chlamydophila caviae GN=IncC PE=4 SV=1	1
O84236	97	O84236_CHLTR Inclusion Membrane Protein C OS=Chlamydia trachomatis GN=incC PE=4 SV=1	1
Q9JP32	98	Q9JP32_PSEUB Putative uncharacterized protein OS=Pseudomonas syringae pv. tomato PE=4 SV=1	1
Q5ZS02	99	Q5ZS02_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2718 PE=4 SV=1	1
Q5ZXT9	99	Q5ZXT9_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0642 PE=4 SV=1	1
Q87W65	100	HOPAD_PSESM Effector protein hopAD1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAD1 PE=4 SV=1	1
Q87XS5	101	Q87XS5_PSESM Type III helper protein HopAK1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAK1 PE=4 SV=1	1
Q5ZSK6	102	"Q5ZSK6_LEGPH SidC, interaptin OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidC PE=4 SV=1"	1
Q5ZSK7	102	Q5ZSK7_LEGPH SdcA OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2510 PE=4 SV=1	1
Q9RPQ1	103	INCD_CHLTR Inclusion membrane protein D OS=Chlamydia trachomatis GN=incD PE=4 SV=2	1
Q9L6W3	104	Q9L6W3_PSEUB HrpK OS=Pseudomonas syringae pv. tomato GN=hrpK PE=4 SV=1	1
Q5ZVT5	105	Q5ZVT5_LEGPH SidG OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidG PE=4 SV=1	1
